cell_sets_per_sec,decoder_loss,epoch,mfu (%),step,train_loss,val/decoder_loss,val_loss
,0.5655527114868164,38,,1449,0.008526219055056572,,
7.906752586364746,1.1572282314300537,39,2.353944778442383,1499,0.013182428665459156,,
,,39,,1499,,14.092020034790039,0.5021411776542664
7.54115104675293,0.6622488498687744,40,3.6652965545654297,1549,0.008761118166148663,,
,0.5280711054801941,42,,1599,0.007230149116367102,,
7.340811252593994,0.4453458786010742,43,2.1854565143585205,1649,0.006553107872605324,,
7.247321605682373,0.6821275949478149,44,3.5224838256835938,1699,0.008506744168698788,,
,0.6338760256767273,46,,1749,0.00935470312833786,,
7.3722076416015625,0.5595988035202026,47,2.1948037147521973,1799,0.007900863885879517,,
7.136012554168701,0.6727828979492188,48,3.468383312225342,1849,0.01089112926274538,,
7.418819427490234,0.4893302321434021,49,3.6058385372161865,1899,0.006769612897187471,,
7.870352745056152,0.536196231842041,51,2.3431079387664795,1949,0.008528018370270729,,
7.20100212097168,0.5974118113517761,52,3.4999706745147705,1999,0.008833968080580235,,
,,52,,1999,,13.754687309265137,0.49889126420021057
7.31125020980835,0.7632410526275635,53,3.553555488586426,2049,0.0110637741163373,,
,0.5522420406341553,55,,2099,0.008348766714334488,,
6.943865776062012,0.8794114589691162,56,3.3749923706054688,2149,0.009855051524937153,,
7.351507663726807,0.740177571773529,57,3.573122262954712,2199,0.0091102821752429,,
,0.606155276298523,59,,2249,0.009249399416148663,,
7.87916374206543,0.53713458776474,60,2.345731258392334,2299,0.008480837568640709,,
6.584966659545898,0.4816454350948334,61,3.2005531787872314,2349,0.007029052823781967,,
,0.5676149129867554,63,,2399,0.00785150472074747,,
7.626309871673584,1.1616575717926025,64,2.2704532146453857,2449,0.012782151810824871,,
7.114410877227783,0.6453573107719421,65,3.457883834838867,2499,0.008707677014172077,,
,,65,,2499,,14.282999038696289,0.5036113858222961
,0.531611442565918,67,,2549,0.007065653335303068,,
7.391759872436523,0.43628740310668945,68,2.200624465942383,2599,0.006178263109177351,,
7.174480438232422,0.6691643595695496,69,3.4870800971984863,2649,0.008469888009130955,,
,0.6309217214584351,71,,2699,0.0094479164108634,,
7.928305625915527,0.5527276992797852,72,2.360361337661743,2749,0.008009052835404873,,
7.361001491546631,0.6685947775840759,73,3.5777366161346436,2799,0.010599483735859394,,
7.668529987335205,0.49393728375434875,74,3.727207660675049,2849,0.006675051525235176,,
7.33797550201416,0.5424589514732361,76,2.184612274169922,2899,0.008081038482487202,,
7.13735294342041,0.5979666709899902,77,3.4690346717834473,2949,0.00844693835824728,,
7.837853908538818,0.7707852721214294,78,3.8095057010650635,2999,0.01080459076911211,,
,,78,,2999,,13.00586223602295,0.49628502130508423
,0.5623716711997986,80,,3049,0.00817800872027874,,
7.984652519226074,0.8740777969360352,81,3.8808557987213135,3099,0.009601191617548466,,
7.948451519012451,0.7342143058776855,82,3.863260507583618,3149,0.00892821978777647,,
,0.6031553149223328,84,,3199,0.009134919382631779,,
7.80920934677124,0.5336369872093201,85,2.324904680252075,3249,0.0082536106929183,,
7.786022186279297,0.47760242223739624,86,3.784313440322876,3299,0.006721664220094681,,
,0.5569750070571899,88,,3349,0.007949025370180607,,
7.680243968963623,1.1495161056518555,89,2.2865099906921387,3399,0.01222626119852066,,
6.6681718826293945,0.6595690250396729,90,3.2409942150115967,3449,0.008701895363628864,,
,0.5241410136222839,92,,3499,0.007103943731635809,,
,,92,,3499,,13.409956932067871,0.4969395399093628
7.257623672485352,0.4394136369228363,93,2.1606905460357666,3549,0.006183079909533262,,
7.410813331604004,0.6611860990524292,94,3.601947069168091,3599,0.008486838079988956,,
,0.6223387718200684,96,,3649,0.009446261450648308,,
6.92377233505249,0.5564006567001343,97,2.0612986087799072,3699,0.00775135075673461,,
6.435774803161621,0.6703437566757202,98,3.128040075302124,3749,0.010554857552051544,,
6.805410385131836,0.5028387308120728,99,3.3076975345611572,3799,0.006721801590174437,,
7.294857501983643,0.5276229381561279,101,2.1717755794525146,3849,0.008060753345489502,,
6.250185489654541,0.5939168930053711,102,3.0378363132476807,3899,0.008556376211345196,,
7.00691032409668,0.7615882754325867,103,3.4056344032287598,3949,0.010632875375449657,,
